id,listing_url,name,picture_url,host_name,host_since,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
42211431,https://www.airbnb.com/rooms/42211431,Deluxe Double Room near Amsterdam Center,https://a0.muscache.com/pictures/2d2393a2-c776-4c7a-a51f-e541e549adfa.jpg,Reservations,2020-01-07,f,t,Slotervaart,52.34776,4.82908,Room in hotel,Private room,2,$156.00,1,16,4.25,4.5,4.56,4.56,4.25,4.38,4.0
42211695,https://www.airbnb.com/rooms/42211695,Comfortable Double Room near Amsterdam Center,https://a0.muscache.com/pictures/48b01fcd-2cc4-41e3-872b-a477ae7b1378.jpg,Reservations,2020-01-07,f,t,Slotervaart,52.34615,4.83064,Room in hotel,Private room,2,$136.00,1,317,4.6,4.62,4.66,4.73,4.6,4.38,4.49
42241377,https://www.airbnb.com/rooms/42241377,"Lovely room for four in great, near Amstel river, area",https://a0.muscache.com/pictures/44f1f8e7-05a5-40dd-b23a-18e80b3e6a8d.jpg,Peter,2017-07-03,f,t,Watergraafsmeer,52.33701,4.93136,Private room in condo,Private room,4,$71.00,2,0,,,,,,,
42250272,https://www.airbnb.com/rooms/42250272,rooms with a view,https://a0.muscache.com/pictures/miso/Hosting-42250272/original/6b8a954d-1aed-4789-9d2f-5a5b3c69acc7.jpeg,Jess,2013-05-16,t,t,IJburg - Zeeburgereiland,52.36308,4.98512,Private room in houseboat,Private room,2,$91.00,2,30,5.0,5.0,4.97,5.0,5.0,4.97,4.93
42251324,https://www.airbnb.com/rooms/42251324,Family town house :),https://a0.muscache.com/pictures/miso/Hosting-42251324/original/206983f8-745c-465d-9f6e-7c3443e79dc8.jpeg,Claudine,2012-09-23,f,t,Zuid,52.3528,4.86579,Entire townhouse,Entire home/apt,8,$550.00,3,7,5.0,5.0,4.86,5.0,5.0,5.0,4.86
42269224,https://www.airbnb.com/rooms/42269224,Motor Yacht Almaz close to the centre of Amsterdam,https://a0.muscache.com/pictures/2d404328-0eac-4ca2-a476-625ba550aa9e.jpg,Gros,2017-07-21,t,t,Buitenveldert - Zuidas,52.33474,4.84842,Private room in boat,Private room,4,$125.00,2,43,4.88,4.98,4.81,4.98,4.98,4.63,4.7
42287405,https://www.airbnb.com/rooms/42287405,Fantastic Amsterdam group apartment close to city centre,https://a0.muscache.com/pictures/832bd16c-0c2d-4cb7-b2b0-7399d9e93b71.jpg,Peter,2017-07-03,f,t,Watergraafsmeer,52.33696,4.93201,Entire rental unit,Entire home/apt,8,$242.00,2,20,4.35,4.5,4.7,4.55,4.7,3.95,4.2
42288239,https://www.airbnb.com/rooms/42288239,Lovely room for two close to Amstel river,https://a0.muscache.com/pictures/ee31693e-9abb-4f8e-888c-a8eeccb6f2e4.jpg,Peter,2017-07-03,f,t,Watergraafsmeer,52.33681,4.93101,Private room in condo,Private room,2,$71.00,2,0,,,,,,,
42289164,https://www.airbnb.com/rooms/42289164,Nice house at the Amstel,https://a0.muscache.com/pictures/449ad682-679e-4f05-ba91-c8a1d8d5976f.jpg,Michiel,2020-02-14,f,t,De Pijp - Rivierenbuurt,52.3574,4.90295,Entire rental unit,Entire home/apt,4,$300.00,1,18,4.39,4.39,3.89,4.94,4.94,4.83,4.22
42289538,https://www.airbnb.com/rooms/42289538,Modern and cosy room for two/three near Amstel river,https://a0.muscache.com/pictures/3b31e1d4-c1eb-4348-8fa9-c4e1fcf65b4a.jpg,Peter,2017-07-03,f,t,Watergraafsmeer,52.33688,4.93257,Private room in condo,Private room,3,$71.00,2,0,,,,,,,
