address,id,lat,lng,location,name,subCategory,,
,6411,41.885191192954,12.387505296927,Rome,Real Sporting Village,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=6411,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=6411
,9244,41.960574622856,12.554579922475,Rome,Roma Sport Out - Centro Sportivo Polivalente,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=9244,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9244
Viale Anna Frank,14149,41.888670027926,12.445169801821,Rome,Pamphili Running,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=14149,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14149
,14589,41.936321321634,12.491618210502,Rome,U.S. Primavera Rugby,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=14589,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14589
,14791,41.932766,12.433937,Rome,Excel Sporting Club,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=14791,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14791
Via Giulio Vincenzo Bona,14989,41.92627684803,12.602765575644,Rome,Tiburtina Valley Sporting Club,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=14989,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14989
Largo Cevasco,15148,41.881884,12.584326,Rome,Polo Atletico Tor Tre Teste,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=15148,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15148
http://www.adventurepark-ostia.it,15233,41.738663637882,12.311105039144,Rome,adventure park,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=15233,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15233
,15528,41.81469082268,12.436795879761,Rome,Impianto Comunale Maurizio Melli,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=15528,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15528
,15611,41.978462,12.493198,Rome,Circolo Sportivo Martina Vignoli,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=15611,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15611
,16196,41.875582059364,12.449496943654,Rome,Judo MUSASHI,Athletics & Sports,http://tour-pedia.org/api/getPlaceDetails?id=16196,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=16196
