address,name,id,lat,lng,location,subCategory,Reviews
"Carrer de Sant Iscle, 35, Barcelona, Spain",Nafloper S.L.,334666,41.432245,2.172558,Barcelona,,
"Carrer de Sant Iscle, 11, Barcelona, Spain",Carnicas Germans Farre SL,334649,41.431117,2.173535,Barcelona,,
"Carrer de Sant Iscle, 11, Barcelona, Spain",Julio Miguel Burrueco Arrabal,334672,41.431117,2.173535,Barcelona,,
"Carrer de Sant Ildefons, 27, Barcelona, Spain",La Boutique de la Carn,336680,41.428758,2.189952,Barcelona,,
"Carrer de Sant Honorat, 7, Barcelona, Spain",El Pintor,339727,41.383044,2.175974,Barcelona,,
"Carrer de Sant Guillem, 20, Sant Pere de Vilamajor, Spain",Román Forns Navaro,335433,41.403049,2.145709,Barcelona,,
"Carrer de Sant Gervasi de Cassoles, 103, Barcelona, Spain",Bonanova,334258,41.406198,2.135017,Barcelona,,
"Carrer de Sant Gervasi de Cassoles, 103, Barcelona, Spain",Mercadona,334260,41.406523,2.134468,Barcelona,,
"Carrer de Sant Germà, 10, Barcelona, Spain",Casa Seret,340117,41.371959,2.146488,Barcelona,,
"Carrer de Sant Gabriel, 2, Barcelona, Spain",Lee Restaurant,335836,41.398655,2.154541,Barcelona,,
"Carrer de Sant Gabriel, 2, Barcelona, Spain",Restaurante Gayagum,335841,41.398677,2.154515,Barcelona,,
"Carrer de Sant Gabriel, 17, Barcelona, Spain",Yung Zhu Liu,335721,41.399369,2.153616,Barcelona,,
"Carrer de Sant Fructuós, 28, Barcelona, Spain",Vidania Gastronomia,340125,41.371704,2.146906,Barcelona,,
"Carrer de Sant Fructuós, 1, Barcelona, Spain",Tango,340137,41.372538,2.148341,Barcelona,,
"Carrer de Sant Eusebi, 64, Barcelona, Spain",La Granja Biológica Restaurant,335409,41.399487,2.146112,Barcelona,,
"Carrer de Sant Eusebi, 36, Barcelona, Spain",El Local,335472,41.400833,2.14823,Barcelona,,
"Carrer de Sant Eusebi, 16, Barcelona, Spain",Vinos González Muga,335477,41.401634,2.14951,Barcelona,,
"Carrer de Sant Elies, 9, Barcelona, Spain",Aribau 33 S.L.,335426,41.401543,2.145223,Barcelona,,
"Carrer de Sant Elies, 6, Barcelona, Spain",L.M. 1873 S.L.,335421,41.401781,2.145442,Barcelona,,
"Carrer de Sant Elies, 22, Barcelona, Spain",Freixa Tradició,335400,41.401301,2.144565,Barcelona,,
"Carrer de Sant Elies, 19, Barcelona, Spain",MOSCAROLA,335404,41.401204,2.144623,Barcelona,,
"Carrer de Sant Elies, 16, Barcelona, Spain",Albert Llarden Pastisser,335436,41.401366,2.144726,Barcelona,,
"Carrer de Sant Elies, 16, Barcelona, Spain",Forn Escoda,335431,41.401443,2.14482,Barcelona,,
"Carrer de Sant Elies, 16, Barcelona, Spain",Pastisseria Fusio,335422,41.401443,2.14482,Barcelona,,
"Carrer de Sant Elies, 16, Barcelona, Spain",Pastissería Fusión,335427,41.401443,2.14482,Barcelona,,
"Carrer de Sant Elies, 11, Barcelona, Spain",Enriqueta Guardino Fortuny,335428,41.401328,2.144838,Barcelona,,
"Carrer de Sant Elies, 11, Barcelona, Spain",Forn Consulting,335432,41.401338,2.144829,Barcelona,,
"Carrer de Sant Domènec, 15, Barcelona, Spain",Cervecería de la Vila,335739,41.400069,2.156824,Barcelona,,
"Carrer de Sant Domènec, 10, Barcelona, Spain",El Criollo,335726,41.399764,2.15645,Barcelona,,
"Carrer de Sant Cristòfol, 2, Barcelona, Spain",Restaurante El Cairo,335715,41.399464,2.154437,Barcelona,,
"Carrer de Sant Cristòfol, 10, Barcelona, Spain",Granero San Cristóbal,335713,41.399586,2.154296,Barcelona,,
"Carrer de Sant Carles, 4, Barcelona, Spain",Can Solé,340440,41.378979,2.188364,Barcelona,,
"Carrer de Sant Carles, 36, Barcelona, Spain",Absenta Bar,221556,41.379535,2.191218,Barcelona,,
"Carrer de Sant Carles, 23, Barcelona, Spain",El Xiringo de la Barceloneta,340472,41.37949,2.190784,Barcelona,,
"Carrer de Sant Carles, 21, Barcelona, Spain",BAR 21,340476,41.379449,2.190598,Barcelona,,
"Carrer de Sant Carles, 16, Barcelona, Spain",Bodega Fermín,340479,41.379136,2.189472,Barcelona,,
"Carrer de Sant Bertran, 1, Barcelona, Spain",Bar los Portuarios,339716,41.375846,2.172312,Barcelona,,
"Carrer de Sant Baltasar, 13, Barcelona, Spain",Cenacubana,337672,41.37163,2.134194,Barcelona,,
"Carrer de Sant Antoni Maria Claret, Barcelona, Spain",Baixa Línea,336758,41.420319,2.186433,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 502, Barcelona, Spain",La Granja,336754,41.421462,2.18835,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 484, Barcelona, Spain",Pastelería Bareche L'Artesa,336746,41.420904,2.187585,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 450, Barcelona, Spain",barbook2012,335160,41.419151,2.185186,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 39, Barcelona, Spain",Bracafe,336069,41.404981,2.16593,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 362, Barcelona, Spain",Saibò Maragall,335195,41.416497,2.181588,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 348, Barcelona, Spain",Panificadora Myrpa S.L.,335172,41.415405,2.18009,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 34, Barcelona, Spain",Croissanteria Forn de Pa,336088,41.404148,2.165166,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 334, Barcelona, Spain",Carnicerías Diego,335175,41.415158,2.179763,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 33, Barcelona, Spain",Carns Selectes Pujol,336086,41.404724,2.16556,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 234, Barcelona, Spain",Ricardo Serres Escobar,336059,41.41161,2.175068,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 224, Barcelona, Spain",La Boulangerie,336021,41.411378,2.174721,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 216, Barcelona, Spain",Insòlita Gea,166741,41.411282,2.174612,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 213, Barcelona, Spain",Carnicería Edo,335171,41.415288,2.17913,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 190, Barcelona, Spain",Bar-restaurante L´Eixample190,336039,41.409799,2.172628,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 184, Barcelona, Spain",Ramón Carrió Grau,336046,41.409711,2.172517,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 183, Barcelona, Spain",Canao,335173,41.414304,2.178328,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 139, Barcelona, Spain",Iss Soluciones de Catering S.L.,336052,41.410715,2.173485,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 137, Barcelona, Spain",Vigmag S.c.p.,336060,41.410624,2.173366,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 111, Barcelona, Spain",Carnicería Polleria Beni,336036,41.408988,2.171236,Barcelona,,
"Carrer de Sant Antoni Maria Claret, 100, Barcelona, Spain",Montserrat Morral Novella,336091,41.406777,2.168622,Barcelona,,
